K,Cluster,Centroid
23,20,"[-1.420117e+00, 1.315571e+00, 1.182584e+00,-6.476050e-01, 7.483333e-04, -4.662007e-01, 3.501933e-02]"
23,21,"[-0.829568, 1.15115 , 1.5421  , 0.05631 ,-0.613565,-0.841151,-0.465276]"
23,22,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
23,23,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
24,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
24,2,"[ 1.957238,-0.574305, 0.014718, 0.395656,-0.427036,-0.683738,-0.682532]"
24,3,"[ 1.827745, 0.559855,-0.880108,-0.939461,-0.458936,-0.126236, 0.017142]"
24,4,"[ 1.605023, 0.861254, 0.291628,-0.504404,-0.814155,-0.676002,-0.763345]"
24,5,"[ 2.014439,-0.135857, 0.263237,-0.504742,-0.823601,-0.514102,-0.299373]"
24,6,"[ 1.714269, 0.219874, 0.168109,-1.00562 ,-1.001051,-0.478231, 0.38265 ]"
24,7,"[ 1.18624 , 1.064252, 0.339788,-1.459169,-0.439543, 0.280012,-0.97158 ]"
24,8,"[ 0.373347,-1.836226,-0.795586, 0.02915 , 0.525202, 0.784363, 0.91975 ]"
24,9,"[ 1.363678,-1.635483,-0.438425, 0.343448,-0.474452, 0.439089, 0.402146]"
24,10,"[ 1.206584,-1.995975, 0.586913, 0.372343,-0.046677, 0.121935,-0.245124]"
24,11,"[ 1.76604 ,-0.560785, 0.124354,-0.593465,-0.951423, 0.722954,-0.507674]"
24,12,"[ 1.650994,-0.745605,-0.403527,-0.789679,-0.759935, 0.109286, 0.938467]"
24,13,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
24,14,"[-1.142201,-1.004793,-0.774739, 0.157555, 0.987824, 0.801299, 0.975056]"
24,15,"[-2.028   , 0.698047, 0.696957, 0.291847, 0.487349,-0.119102,-0.027097]"
24,16,"[-1.395957,-0.413223,-0.410568, 0.152421, 1.242462, 1.257754,-0.432889]"
24,17,"[-1.676944,-0.54608 , 0.264813, 0.103038, 1.337708,-0.319769, 0.837237]"
24,18,"[-1.713745, 0.026493, 0.426783, 0.931337, 1.074055,-0.618244,-0.126679]"
24,19,"[-1.878267,-0.377639, 0.115743, 0.750526, 0.942143, 0.422947, 0.024547]"
24,20,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
24,21,"[-1.420117e+00, 1.315571e+00, 1.182584e+00,-6.476050e-01, 7.483333e-04, -4.662007e-01, 3.501933e-02]"
24,22,"[-0.829568, 1.15115 , 1.5421  , 0.05631 ,-0.613565,-0.841151,-0.465276]"
24,23,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
24,24,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
25,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
25,2,"[ 1.983104,-0.504872, 0.053741, 0.33554 ,-0.437824,-0.717628,-0.712061]"
25,3,"[ 1.698578,-1.268638,-0.375511, 0.996817,-0.319158,-0.344837,-0.387251]"
25,4,"[ 1.827745, 0.559855,-0.880108,-0.939461,-0.458936,-0.126236, 0.017142]"
25,5,"[ 1.605023, 0.861254, 0.291628,-0.504404,-0.814155,-0.676002,-0.763345]"
25,6,"[ 2.014439,-0.135857, 0.263237,-0.504742,-0.823601,-0.514102,-0.299373]"
25,7,"[ 1.714269, 0.219874, 0.168109,-1.00562 ,-1.001051,-0.478231, 0.38265 ]"
25,8,"[ 1.18624 , 1.064252, 0.339788,-1.459169,-0.439543, 0.280012,-0.97158 ]"
25,9,"[ 0.373347,-1.836226,-0.795586, 0.02915 , 0.525202, 0.784363, 0.91975 ]"
25,10,"[ 1.363678,-1.635483,-0.438425, 0.343448,-0.474452, 0.439089, 0.402146]"
25,11,"[ 1.206584,-1.995975, 0.586913, 0.372343,-0.046677, 0.121935,-0.245124]"
25,12,"[ 1.76604 ,-0.560785, 0.124354,-0.593465,-0.951423, 0.722954,-0.507674]"
25,13,"[ 1.650994,-0.745605,-0.403527,-0.789679,-0.759935, 0.109286, 0.938467]"
25,14,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
25,15,"[-1.142201,-1.004793,-0.774739, 0.157555, 0.987824, 0.801299, 0.975056]"
25,16,"[-2.028   , 0.698047, 0.696957, 0.291847, 0.487349,-0.119102,-0.027097]"
25,17,"[-1.395957,-0.413223,-0.410568, 0.152421, 1.242462, 1.257754,-0.432889]"
25,18,"[-1.676944,-0.54608 , 0.264813, 0.103038, 1.337708,-0.319769, 0.837237]"
25,19,"[-1.713745, 0.026493, 0.426783, 0.931337, 1.074055,-0.618244,-0.126679]"
25,20,"[-1.878267,-0.377639, 0.115743, 0.750526, 0.942143, 0.422947, 0.024547]"
25,21,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
25,22,"[-1.420117e+00, 1.315571e+00, 1.182584e+00,-6.476050e-01, 7.483333e-04, -4.662007e-01, 3.501933e-02]"
25,23,"[-0.829568, 1.15115 , 1.5421  , 0.05631 ,-0.613565,-0.841151,-0.465276]"
25,24,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
25,25,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
26,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
26,2,"[ 1.983104,-0.504872, 0.053741, 0.33554 ,-0.437824,-0.717628,-0.712061]"
26,3,"[ 1.698578,-1.268638,-0.375511, 0.996817,-0.319158,-0.344837,-0.387251]"
26,4,"[ 1.827745, 0.559855,-0.880108,-0.939461,-0.458936,-0.126236, 0.017142]"
26,5,"[ 1.605023, 0.861254, 0.291628,-0.504404,-0.814155,-0.676002,-0.763345]"
26,6,"[ 2.014439,-0.135857, 0.263237,-0.504742,-0.823601,-0.514102,-0.299373]"
26,7,"[ 1.714269, 0.219874, 0.168109,-1.00562 ,-1.001051,-0.478231, 0.38265 ]"
26,8,"[ 1.18624 , 1.064252, 0.339788,-1.459169,-0.439543, 0.280012,-0.97158 ]"
26,9,"[ 0.373347,-1.836226,-0.795586, 0.02915 , 0.525202, 0.784363, 0.91975 ]"
26,10,"[ 1.363678,-1.635483,-0.438425, 0.343448,-0.474452, 0.439089, 0.402146]"
26,11,"[ 1.206584,-1.995975, 0.586913, 0.372343,-0.046677, 0.121935,-0.245124]"
26,12,"[ 1.76604 ,-0.560785, 0.124354,-0.593465,-0.951423, 0.722954,-0.507674]"
26,13,"[ 1.650994,-0.745605,-0.403527,-0.789679,-0.759935, 0.109286, 0.938467]"
26,14,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
26,15,"[-1.428575,-0.584567,-0.49168 ,-0.17266 , 0.393261, 0.954977, 1.329245]"
26,16,"[-1.128847,-1.024389,-0.787939, 0.172954, 1.01555 , 0.794132, 0.958539]"
26,17,"[-2.028   , 0.698047, 0.696957, 0.291847, 0.487349,-0.119102,-0.027097]"
26,18,"[-1.395957,-0.413223,-0.410568, 0.152421, 1.242462, 1.257754,-0.432889]"
26,19,"[-1.676944,-0.54608 , 0.264813, 0.103038, 1.337708,-0.319769, 0.837237]"
26,20,"[-1.713745, 0.026493, 0.426783, 0.931337, 1.074055,-0.618244,-0.126679]"
26,21,"[-1.878267,-0.377639, 0.115743, 0.750526, 0.942143, 0.422947, 0.024547]"
26,22,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
26,23,"[-1.420117e+00, 1.315571e+00, 1.182584e+00,-6.476050e-01, 7.483333e-04, -4.662007e-01, 3.501933e-02]"
26,24,"[-0.829568, 1.15115 , 1.5421  , 0.05631 ,-0.613565,-0.841151,-0.465276]"
26,25,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
26,26,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
27,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
27,2,"[ 1.983104,-0.504872, 0.053741, 0.33554 ,-0.437824,-0.717628,-0.712061]"
27,3,"[ 1.698578,-1.268638,-0.375511, 0.996817,-0.319158,-0.344837,-0.387251]"
27,4,"[ 1.827745, 0.559855,-0.880108,-0.939461,-0.458936,-0.126236, 0.017142]"
27,5,"[ 1.605023, 0.861254, 0.291628,-0.504404,-0.814155,-0.676002,-0.763345]"
27,6,"[ 2.014439,-0.135857, 0.263237,-0.504742,-0.823601,-0.514102,-0.299373]"
27,7,"[ 1.714269, 0.219874, 0.168109,-1.00562 ,-1.001051,-0.478231, 0.38265 ]"
27,8,"[ 1.18624 , 1.064252, 0.339788,-1.459169,-0.439543, 0.280012,-0.97158 ]"
27,9,"[ 0.373347,-1.836226,-0.795586, 0.02915 , 0.525202, 0.784363, 0.91975 ]"
27,10,"[ 1.363678,-1.635483,-0.438425, 0.343448,-0.474452, 0.439089, 0.402146]"
27,11,"[ 1.206584,-1.995975, 0.586913, 0.372343,-0.046677, 0.121935,-0.245124]"
27,12,"[ 1.76604 ,-0.560785, 0.124354,-0.593465,-0.951423, 0.722954,-0.507674]"
27,13,"[ 1.650994,-0.745605,-0.403527,-0.789679,-0.759935, 0.109286, 0.938467]"
27,14,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
27,15,"[-1.428575,-0.584567,-0.49168 ,-0.17266 , 0.393261, 0.954977, 1.329245]"
27,16,"[-1.128847,-1.024389,-0.787939, 0.172954, 1.01555 , 0.794132, 0.958539]"
27,17,"[-2.028   , 0.698047, 0.696957, 0.291847, 0.487349,-0.119102,-0.027097]"
27,18,"[-1.395957,-0.413223,-0.410568, 0.152421, 1.242462, 1.257754,-0.432889]"
27,19,"[-1.676944,-0.54608 , 0.264813, 0.103038, 1.337708,-0.319769, 0.837237]"
27,20,"[-1.713745, 0.026493, 0.426783, 0.931337, 1.074055,-0.618244,-0.126679]"
27,21,"[-1.827484,-0.027349, 0.125164, 0.930515, 0.958914, 0.389009,-0.54877 ]"
27,22,"[-1.897076,-0.507377, 0.112253, 0.683863, 0.935932, 0.435517, 0.236887]"
27,23,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
27,24,"[-1.420117e+00, 1.315571e+00, 1.182584e+00,-6.476050e-01, 7.483333e-04, -4.662007e-01, 3.501933e-02]"
27,25,"[-0.829568, 1.15115 , 1.5421  , 0.05631 ,-0.613565,-0.841151,-0.465276]"
27,26,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
27,27,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
28,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
28,2,"[ 1.983104,-0.504872, 0.053741, 0.33554 ,-0.437824,-0.717628,-0.712061]"
28,3,"[ 1.698578,-1.268638,-0.375511, 0.996817,-0.319158,-0.344837,-0.387251]"
28,4,"[ 1.827745, 0.559855,-0.880108,-0.939461,-0.458936,-0.126236, 0.017142]"
28,5,"[ 1.605023, 0.861254, 0.291628,-0.504404,-0.814155,-0.676002,-0.763345]"
28,6,"[ 2.014439,-0.135857, 0.263237,-0.504742,-0.823601,-0.514102,-0.299373]"
28,7,"[ 1.714269, 0.219874, 0.168109,-1.00562 ,-1.001051,-0.478231, 0.38265 ]"
28,8,"[ 1.18624 , 1.064252, 0.339788,-1.459169,-0.439543, 0.280012,-0.97158 ]"
28,9,"[ 0.373347,-1.836226,-0.795586, 0.02915 , 0.525202, 0.784363, 0.91975 ]"
28,10,"[ 1.363678,-1.635483,-0.438425, 0.343448,-0.474452, 0.439089, 0.402146]"
28,11,"[ 1.206584,-1.995975, 0.586913, 0.372343,-0.046677, 0.121935,-0.245124]"
28,12,"[ 1.76604 ,-0.560785, 0.124354,-0.593465,-0.951423, 0.722954,-0.507674]"
28,13,"[ 1.480426,-1.163951,-0.714135,-0.739948,-0.105236, 0.358544, 0.884301]"
28,14,"[ 1.668399,-0.702917,-0.371832,-0.794754,-0.826741, 0.083852, 0.943994]"
28,15,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
28,16,"[-1.428575,-0.584567,-0.49168 ,-0.17266 , 0.393261, 0.954977, 1.329245]"
28,17,"[-1.128847,-1.024389,-0.787939, 0.172954, 1.01555 , 0.794132, 0.958539]"
28,18,"[-2.028   , 0.698047, 0.696957, 0.291847, 0.487349,-0.119102,-0.027097]"
28,19,"[-1.395957,-0.413223,-0.410568, 0.152421, 1.242462, 1.257754,-0.432889]"
28,20,"[-1.676944,-0.54608 , 0.264813, 0.103038, 1.337708,-0.319769, 0.837237]"
28,21,"[-1.713745, 0.026493, 0.426783, 0.931337, 1.074055,-0.618244,-0.126679]"
28,22,"[-1.827484,-0.027349, 0.125164, 0.930515, 0.958914, 0.389009,-0.54877 ]"
28,23,"[-1.897076,-0.507377, 0.112253, 0.683863, 0.935932, 0.435517, 0.236887]"
28,24,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
28,25,"[-1.420117e+00, 1.315571e+00, 1.182584e+00,-6.476050e-01, 7.483333e-04, -4.662007e-01, 3.501933e-02]"
28,26,"[-0.829568, 1.15115 , 1.5421  , 0.05631 ,-0.613565,-0.841151,-0.465276]"
28,27,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
28,28,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
29,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
29,2,"[ 1.983104,-0.504872, 0.053741, 0.33554 ,-0.437824,-0.717628,-0.712061]"
29,3,"[ 1.698578,-1.268638,-0.375511, 0.996817,-0.319158,-0.344837,-0.387251]"
29,4,"[ 1.827745, 0.559855,-0.880108,-0.939461,-0.458936,-0.126236, 0.017142]"
29,5,"[ 1.249995, 1.139623, 0.611846,-0.552959,-0.881096,-0.820284,-0.747125]"
29,6,"[ 1.858614, 0.662419, 0.062901,-0.469722,-0.76634 ,-0.572942,-0.77493 ]"
29,7,"[ 2.014439,-0.135857, 0.263237,-0.504742,-0.823601,-0.514102,-0.299373]"
29,8,"[ 1.714269, 0.219874, 0.168109,-1.00562 ,-1.001051,-0.478231, 0.38265 ]"
29,9,"[ 1.18624 , 1.064252, 0.339788,-1.459169,-0.439543, 0.280012,-0.97158 ]"
29,10,"[ 0.373347,-1.836226,-0.795586, 0.02915 , 0.525202, 0.784363, 0.91975 ]"
29,11,"[ 1.363678,-1.635483,-0.438425, 0.343448,-0.474452, 0.439089, 0.402146]"
29,12,"[ 1.206584,-1.995975, 0.586913, 0.372343,-0.046677, 0.121935,-0.245124]"
29,13,"[ 1.76604 ,-0.560785, 0.124354,-0.593465,-0.951423, 0.722954,-0.507674]"
29,14,"[ 1.480426,-1.163951,-0.714135,-0.739948,-0.105236, 0.358544, 0.884301]"
29,15,"[ 1.668399,-0.702917,-0.371832,-0.794754,-0.826741, 0.083852, 0.943994]"
29,16,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
29,17,"[-1.428575,-0.584567,-0.49168 ,-0.17266 , 0.393261, 0.954977, 1.329245]"
29,18,"[-1.128847,-1.024389,-0.787939, 0.172954, 1.01555 , 0.794132, 0.958539]"
29,19,"[-2.028   , 0.698047, 0.696957, 0.291847, 0.487349,-0.119102,-0.027097]"
29,20,"[-1.395957,-0.413223,-0.410568, 0.152421, 1.242462, 1.257754,-0.432889]"
29,21,"[-1.676944,-0.54608 , 0.264813, 0.103038, 1.337708,-0.319769, 0.837237]"
29,22,"[-1.713745, 0.026493, 0.426783, 0.931337, 1.074055,-0.618244,-0.126679]"
29,23,"[-1.827484,-0.027349, 0.125164, 0.930515, 0.958914, 0.389009,-0.54877 ]"
29,24,"[-1.897076,-0.507377, 0.112253, 0.683863, 0.935932, 0.435517, 0.236887]"
29,25,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
29,26,"[-1.420117e+00, 1.315571e+00, 1.182584e+00,-6.476050e-01, 7.483333e-04, -4.662007e-01, 3.501933e-02]"
29,27,"[-0.829568, 1.15115 , 1.5421  , 0.05631 ,-0.613565,-0.841151,-0.465276]"
29,28,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
29,29,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
30,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
30,2,"[ 1.983104,-0.504872, 0.053741, 0.33554 ,-0.437824,-0.717628,-0.712061]"
30,3,"[ 1.698578,-1.268638,-0.375511, 0.996817,-0.319158,-0.344837,-0.387251]"
30,4,"[ 1.827745, 0.559855,-0.880108,-0.939461,-0.458936,-0.126236, 0.017142]"
30,5,"[ 1.249995, 1.139623, 0.611846,-0.552959,-0.881096,-0.820284,-0.747125]"
30,6,"[ 1.858614, 0.662419, 0.062901,-0.469722,-0.76634 ,-0.572942,-0.77493 ]"
30,7,"[ 2.014439,-0.135857, 0.263237,-0.504742,-0.823601,-0.514102,-0.299373]"
30,8,"[ 1.714269, 0.219874, 0.168109,-1.00562 ,-1.001051,-0.478231, 0.38265 ]"
30,9,"[ 1.18624 , 1.064252, 0.339788,-1.459169,-0.439543, 0.280012,-0.97158 ]"
30,10,"[ 0.373347,-1.836226,-0.795586, 0.02915 , 0.525202, 0.784363, 0.91975 ]"
30,11,"[ 1.363678,-1.635483,-0.438425, 0.343448,-0.474452, 0.439089, 0.402146]"
30,12,"[ 1.206584,-1.995975, 0.586913, 0.372343,-0.046677, 0.121935,-0.245124]"
30,13,"[ 1.76604 ,-0.560785, 0.124354,-0.593465,-0.951423, 0.722954,-0.507674]"
30,14,"[ 1.480426,-1.163951,-0.714135,-0.739948,-0.105236, 0.358544, 0.884301]"
30,15,"[ 1.668399,-0.702917,-0.371832,-0.794754,-0.826741, 0.083852, 0.943994]"
30,16,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
30,17,"[-1.428575,-0.584567,-0.49168 ,-0.17266 , 0.393261, 0.954977, 1.329245]"
30,18,"[-1.301219,-0.307586,-1.26282 , 0.452777, 1.26819 , 0.750337, 0.40032 ]"
30,19,"[-1.127042,-1.031895,-0.782966, 0.170024, 1.012905, 0.794591, 0.964385]"
30,20,"[-2.028   , 0.698047, 0.696957, 0.291847, 0.487349,-0.119102,-0.027097]"
30,21,"[-1.395957,-0.413223,-0.410568, 0.152421, 1.242462, 1.257754,-0.432889]"
30,22,"[-1.676944,-0.54608 , 0.264813, 0.103038, 1.337708,-0.319769, 0.837237]"
30,23,"[-1.713745, 0.026493, 0.426783, 0.931337, 1.074055,-0.618244,-0.126679]"
30,24,"[-1.827484,-0.027349, 0.125164, 0.930515, 0.958914, 0.389009,-0.54877 ]"
30,25,"[-1.897076,-0.507377, 0.112253, 0.683863, 0.935932, 0.435517, 0.236887]"
30,26,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
30,27,"[-1.420117e+00, 1.315571e+00, 1.182584e+00,-6.476050e-01, 7.483333e-04, -4.662007e-01, 3.501933e-02]"
30,28,"[-0.829568, 1.15115 , 1.5421  , 0.05631 ,-0.613565,-0.841151,-0.465276]"
30,29,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
30,30,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
31,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
31,2,"[ 1.983104,-0.504872, 0.053741, 0.33554 ,-0.437824,-0.717628,-0.712061]"
31,3,"[ 1.698578,-1.268638,-0.375511, 0.996817,-0.319158,-0.344837,-0.387251]"
31,4,"[ 1.827745, 0.559855,-0.880108,-0.939461,-0.458936,-0.126236, 0.017142]"
31,5,"[ 1.249995, 1.139623, 0.611846,-0.552959,-0.881096,-0.820284,-0.747125]"
31,6,"[ 1.858614, 0.662419, 0.062901,-0.469722,-0.76634 ,-0.572942,-0.77493 ]"
31,7,"[ 2.014439,-0.135857, 0.263237,-0.504742,-0.823601,-0.514102,-0.299373]"
31,8,"[ 1.714269, 0.219874, 0.168109,-1.00562 ,-1.001051,-0.478231, 0.38265 ]"
31,9,"[ 1.18624 , 1.064252, 0.339788,-1.459169,-0.439543, 0.280012,-0.97158 ]"
31,10,"[ 0.373347,-1.836226,-0.795586, 0.02915 , 0.525202, 0.784363, 0.91975 ]"
31,11,"[ 1.851773,-1.311579,-0.490927, 0.02602 ,-0.37529 , 0.247508, 0.052494]"
31,12,"[ 1.276518,-1.693323,-0.42905 , 0.400131,-0.49216 , 0.4733  , 0.464584]"
31,13,"[ 1.206584,-1.995975, 0.586913, 0.372343,-0.046677, 0.121935,-0.245124]"
31,14,"[ 1.76604 ,-0.560785, 0.124354,-0.593465,-0.951423, 0.722954,-0.507674]"
31,15,"[ 1.480426,-1.163951,-0.714135,-0.739948,-0.105236, 0.358544, 0.884301]"
31,16,"[ 1.668399,-0.702917,-0.371832,-0.794754,-0.826741, 0.083852, 0.943994]"
31,17,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
31,18,"[-1.428575,-0.584567,-0.49168 ,-0.17266 , 0.393261, 0.954977, 1.329245]"
31,19,"[-1.301219,-0.307586,-1.26282 , 0.452777, 1.26819 , 0.750337, 0.40032 ]"
31,20,"[-1.127042,-1.031895,-0.782966, 0.170024, 1.012905, 0.794591, 0.964385]"
31,21,"[-2.028   , 0.698047, 0.696957, 0.291847, 0.487349,-0.119102,-0.027097]"
31,22,"[-1.395957,-0.413223,-0.410568, 0.152421, 1.242462, 1.257754,-0.432889]"
31,23,"[-1.676944,-0.54608 , 0.264813, 0.103038, 1.337708,-0.319769, 0.837237]"
31,24,"[-1.713745, 0.026493, 0.426783, 0.931337, 1.074055,-0.618244,-0.126679]"
31,25,"[-1.827484,-0.027349, 0.125164, 0.930515, 0.958914, 0.389009,-0.54877 ]"
31,26,"[-1.897076,-0.507377, 0.112253, 0.683863, 0.935932, 0.435517, 0.236887]"
31,27,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
31,28,"[-1.420117e+00, 1.315571e+00, 1.182584e+00,-6.476050e-01, 7.483333e-04, -4.662007e-01, 3.501933e-02]"
31,29,"[-0.829568, 1.15115 , 1.5421  , 0.05631 ,-0.613565,-0.841151,-0.465276]"
31,30,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
31,31,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
32,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
32,2,"[ 1.983104,-0.504872, 0.053741, 0.33554 ,-0.437824,-0.717628,-0.712061]"
32,3,"[ 1.698578,-1.268638,-0.375511, 0.996817,-0.319158,-0.344837,-0.387251]"
32,4,"[ 1.827745, 0.559855,-0.880108,-0.939461,-0.458936,-0.126236, 0.017142]"
32,5,"[ 1.249995, 1.139623, 0.611846,-0.552959,-0.881096,-0.820284,-0.747125]"
32,6,"[ 1.858614, 0.662419, 0.062901,-0.469722,-0.76634 ,-0.572942,-0.77493 ]"
32,7,"[ 2.014439,-0.135857, 0.263237,-0.504742,-0.823601,-0.514102,-0.299373]"
32,8,"[ 1.714269, 0.219874, 0.168109,-1.00562 ,-1.001051,-0.478231, 0.38265 ]"
32,9,"[ 1.18624 , 1.064252, 0.339788,-1.459169,-0.439543, 0.280012,-0.97158 ]"
32,10,"[ 0.373347,-1.836226,-0.795586, 0.02915 , 0.525202, 0.784363, 0.91975 ]"
32,11,"[ 1.851773,-1.311579,-0.490927, 0.02602 ,-0.37529 , 0.247508, 0.052494]"
32,12,"[ 1.276518,-1.693323,-0.42905 , 0.400131,-0.49216 , 0.4733  , 0.464584]"
32,13,"[ 1.206584,-1.995975, 0.586913, 0.372343,-0.046677, 0.121935,-0.245124]"
32,14,"[ 1.76604 ,-0.560785, 0.124354,-0.593465,-0.951423, 0.722954,-0.507674]"
32,15,"[ 1.480426,-1.163951,-0.714135,-0.739948,-0.105236, 0.358544, 0.884301]"
32,16,"[ 1.668399,-0.702917,-0.371832,-0.794754,-0.826741, 0.083852, 0.943994]"
32,17,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
32,18,"[-1.428575,-0.584567,-0.49168 ,-0.17266 , 0.393261, 0.954977, 1.329245]"
32,19,"[-1.301219,-0.307586,-1.26282 , 0.452777, 1.26819 , 0.750337, 0.40032 ]"
32,20,"[-1.127042,-1.031895,-0.782966, 0.170024, 1.012905, 0.794591, 0.964385]"
32,21,"[-2.140682, 0.403436, 0.738089, 0.146917, 0.595859, 0.14219 , 0.114192]"
32,22,"[-1.892782, 1.05158 , 0.647598, 0.465765, 0.357137,-0.432653,-0.196644]"
32,23,"[-1.395957,-0.413223,-0.410568, 0.152421, 1.242462, 1.257754,-0.432889]"
32,24,"[-1.676944,-0.54608 , 0.264813, 0.103038, 1.337708,-0.319769, 0.837237]"
32,25,"[-1.713745, 0.026493, 0.426783, 0.931337, 1.074055,-0.618244,-0.126679]"
32,26,"[-1.827484,-0.027349, 0.125164, 0.930515, 0.958914, 0.389009,-0.54877 ]"
32,27,"[-1.897076,-0.507377, 0.112253, 0.683863, 0.935932, 0.435517, 0.236887]"
32,28,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
32,29,"[-1.420117e+00, 1.315571e+00, 1.182584e+00,-6.476050e-01, 7.483333e-04, -4.662007e-01, 3.501933e-02]"
32,30,"[-0.829568, 1.15115 , 1.5421  , 0.05631 ,-0.613565,-0.841151,-0.465276]"
32,31,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
32,32,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
33,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
33,2,"[ 1.983104,-0.504872, 0.053741, 0.33554 ,-0.437824,-0.717628,-0.712061]"
33,3,"[ 1.698578,-1.268638,-0.375511, 0.996817,-0.319158,-0.344837,-0.387251]"
33,4,"[ 1.827745, 0.559855,-0.880108,-0.939461,-0.458936,-0.126236, 0.017142]"
33,5,"[ 1.249995, 1.139623, 0.611846,-0.552959,-0.881096,-0.820284,-0.747125]"
33,6,"[ 1.858614, 0.662419, 0.062901,-0.469722,-0.76634 ,-0.572942,-0.77493 ]"
33,7,"[ 2.014439,-0.135857, 0.263237,-0.504742,-0.823601,-0.514102,-0.299373]"
33,8,"[ 1.750044,-0.027678, 0.168599,-0.763734,-1.019868,-0.729906, 0.622542]"
33,9,"[ 1.678493, 0.467426, 0.167619,-1.247505,-0.982234,-0.226556, 0.142758]"
33,10,"[ 1.18624 , 1.064252, 0.339788,-1.459169,-0.439543, 0.280012,-0.97158 ]"
