K,Cluster,Centroid
11,9,"[-1.124842, 1.23336 , 1.362342,-0.295648,-0.306408,-0.653676,-0.215128]"
11,10,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
11,11,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
12,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
12,2,"[ 1.957238,-0.574305, 0.014718, 0.395656,-0.427036,-0.683738,-0.682532]"
12,3,"[ 1.765303, 0.436564, 0.209883,-0.587605,-0.814557,-0.561847,-0.447741]"
12,4,"[ 1.304296,-1.656649,-0.429786, 0.326789,-0.407033, 0.449461, 0.412922]"
12,5,"[ 1.660744,-0.729943,-0.358791,-0.773051,-0.776163, 0.161292, 0.815912]"
12,6,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
12,7,"[-1.142201,-1.004793,-0.774739, 0.157555, 0.987824, 0.801299, 0.975056]"
12,8,"[-1.871512,-0.144764, 0.238654, 0.628858, 0.887084, 0.245391, 0.016289]"
12,9,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
12,10,"[-1.124842, 1.23336 , 1.362342,-0.295648,-0.306408,-0.653676,-0.215128]"
12,11,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
12,12,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
13,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
13,2,"[ 1.957238,-0.574305, 0.014718, 0.395656,-0.427036,-0.683738,-0.682532]"
13,3,"[ 1.765303, 0.436564, 0.209883,-0.587605,-0.814557,-0.561847,-0.447741]"
13,4,"[ 1.304296,-1.656649,-0.429786, 0.326789,-0.407033, 0.449461, 0.412922]"
13,5,"[ 1.76604 ,-0.560785, 0.124354,-0.593465,-0.951423, 0.722954,-0.507674]"
13,6,"[ 1.650994,-0.745605,-0.403527,-0.789679,-0.759935, 0.109286, 0.938467]"
13,7,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
13,8,"[-1.142201,-1.004793,-0.774739, 0.157555, 0.987824, 0.801299, 0.975056]"
13,9,"[-1.871512,-0.144764, 0.238654, 0.628858, 0.887084, 0.245391, 0.016289]"
13,10,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
13,11,"[-1.124842, 1.23336 , 1.362342,-0.295648,-0.306408,-0.653676,-0.215128]"
13,12,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
13,13,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
14,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
14,2,"[ 1.957238,-0.574305, 0.014718, 0.395656,-0.427036,-0.683738,-0.682532]"
14,3,"[ 1.771272, 0.430093, 0.208544,-0.57862 ,-0.818423,-0.570526,-0.442341]"
14,4,"[ 1.18624 , 1.064252, 0.339788,-1.459169,-0.439543, 0.280012,-0.97158 ]"
14,5,"[ 1.304296,-1.656649,-0.429786, 0.326789,-0.407033, 0.449461, 0.412922]"
14,6,"[ 1.76604 ,-0.560785, 0.124354,-0.593465,-0.951423, 0.722954,-0.507674]"
14,7,"[ 1.650994,-0.745605,-0.403527,-0.789679,-0.759935, 0.109286, 0.938467]"
14,8,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
14,9,"[-1.142201,-1.004793,-0.774739, 0.157555, 0.987824, 0.801299, 0.975056]"
14,10,"[-1.871512,-0.144764, 0.238654, 0.628858, 0.887084, 0.245391, 0.016289]"
14,11,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
14,12,"[-1.124842, 1.23336 , 1.362342,-0.295648,-0.306408,-0.653676,-0.215128]"
14,13,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
