K,Cluster,Centroid
12,8,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
12,9,"[0.804087,0.111815,0.32301 ,0.68372 ,0.307465,0.589588,0.52144 ]"
12,10,"[0.892508,0.42783 ,0.502855,0.341563,0.116207,0.674704,0.301238]"
12,11,"[0.867944,0.348233,0.325955,0.305509,0.199459,0.468949,0.675097]"
12,12,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
13,1,"[0.048538,0.680219,0.659499,0.695293,0.681058,0.381204,0.428547]"
13,2,"[0.276115,0.125585,0.697529,0.746625,0.802981,0.522214,0.458398]"
13,3,"[0.099986,0.426087,0.486823,0.815454,0.820121,0.582149,0.417995]"
13,4,"[0.250465,0.277404,0.198256,0.620843,0.811384,0.727811,0.683666]"
13,5,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
13,6,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
13,7,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
13,8,"[0.897744,0.627864,0.526582,0.413059,0.203416,0.208518,0.28224 ]"
13,9,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
13,10,"[0.804087,0.111815,0.32301 ,0.68372 ,0.307465,0.589588,0.52144 ]"
13,11,"[0.892508,0.42783 ,0.502855,0.341563,0.116207,0.674704,0.301238]"
13,12,"[0.867944,0.348233,0.325955,0.305509,0.199459,0.468949,0.675097]"
13,13,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
14,1,"[0.048538,0.680219,0.659499,0.695293,0.681058,0.381204,0.428547]"
14,2,"[0.276115,0.125585,0.697529,0.746625,0.802981,0.522214,0.458398]"
14,3,"[0.099986,0.426087,0.486823,0.815454,0.820121,0.582149,0.417995]"
14,4,"[0.250465,0.277404,0.198256,0.620843,0.811384,0.727811,0.683666]"
14,5,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
14,6,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
14,7,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
14,8,"[0.906304,0.460323,0.502919,0.685954,0.316996,0.153509,0.195414]"
14,9,"[0.896483,0.652555,0.530069,0.372843,0.186677,0.216625,0.295035]"
14,10,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
14,11,"[0.804087,0.111815,0.32301 ,0.68372 ,0.307465,0.589588,0.52144 ]"
14,12,"[0.892508,0.42783 ,0.502855,0.341563,0.116207,0.674704,0.301238]"
14,13,"[0.867944,0.348233,0.325955,0.305509,0.199459,0.468949,0.675097]"
14,14,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
15,1,"[0.048538,0.680219,0.659499,0.695293,0.681058,0.381204,0.428547]"
15,2,"[0.276115,0.125585,0.697529,0.746625,0.802981,0.522214,0.458398]"
15,3,"[0.127714,0.398604,0.547986,0.602959,0.935057,0.311356,0.645541]"
15,4,"[0.098487,0.427572,0.483517,0.82694 ,0.813908,0.596787,0.405695]"
15,5,"[0.250465,0.277404,0.198256,0.620843,0.811384,0.727811,0.683666]"
15,6,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
15,7,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
15,8,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
15,9,"[0.906304,0.460323,0.502919,0.685954,0.316996,0.153509,0.195414]"
15,10,"[0.896483,0.652555,0.530069,0.372843,0.186677,0.216625,0.295035]"
15,11,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
15,12,"[0.804087,0.111815,0.32301 ,0.68372 ,0.307465,0.589588,0.52144 ]"
15,13,"[0.892508,0.42783 ,0.502855,0.341563,0.116207,0.674704,0.301238]"
15,14,"[0.867944,0.348233,0.325955,0.305509,0.199459,0.468949,0.675097]"
15,15,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
16,1,"[0.048538,0.680219,0.659499,0.695293,0.681058,0.381204,0.428547]"
16,2,"[0.276115,0.125585,0.697529,0.746625,0.802981,0.522214,0.458398]"
16,3,"[0.127714,0.398604,0.547986,0.602959,0.935057,0.311356,0.645541]"
16,4,"[0.098487,0.427572,0.483517,0.82694 ,0.813908,0.596787,0.405695]"
16,5,"[0.250465,0.277404,0.198256,0.620843,0.811384,0.727811,0.683666]"
16,6,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
16,7,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
16,8,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
16,9,"[0.906304,0.460323,0.502919,0.685954,0.316996,0.153509,0.195414]"
16,10,"[0.915721,0.702376,0.205428,0.290502,0.317594,0.322936,0.371005]"
16,11,"[0.894952,0.648592,0.555893,0.379393,0.176264,0.208168,0.288992]"
16,12,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
16,13,"[0.804087,0.111815,0.32301 ,0.68372 ,0.307465,0.589588,0.52144 ]"
16,14,"[0.892508,0.42783 ,0.502855,0.341563,0.116207,0.674704,0.301238]"
16,15,"[0.867944,0.348233,0.325955,0.305509,0.199459,0.468949,0.675097]"
16,16,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
17,1,"[0.048538,0.680219,0.659499,0.695293,0.681058,0.381204,0.428547]"
17,2,"[0.276115,0.125585,0.697529,0.746625,0.802981,0.522214,0.458398]"
