K,Cluster,Centroid
25,17,"[0.962563,0.45985 ,0.48422 ,0.375195,0.181538,0.276231,0.411676]"
25,18,"[0.869598,0.71937 ,0.58277 ,0.380967,0.174286,0.182644,0.242986]"
25,19,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
25,20,"[0.805117,0.114579,0.31293 ,0.683436,0.303078,0.59305 ,0.526642]"
25,21,"[0.770119,0.020593,0.655647,0.693108,0.452262,0.47532 ,0.349761]"
25,22,"[0.892508,0.42783 ,0.502855,0.341563,0.116207,0.674704,0.301238]"
25,23,"[0.871941,0.362514,0.337714,0.302858,0.172677,0.45828 ,0.676616]"
25,24,"[0.835968,0.233984,0.231883,0.326721,0.413714,0.5543  ,0.662943]"
25,25,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
26,1,"[0.019574,0.624925,0.639508,0.659777,0.699532,0.484855,0.476588]"
26,2,"[0.089914,0.75921 ,0.688058,0.74603 ,0.654668,0.233132,0.359916]"
26,3,"[0.187541,0.171492,0.645734,0.609437,0.826134,0.652919,0.558904]"
26,4,"[0.36469 ,0.079677,0.749323,0.883813,0.779829,0.391509,0.357892]"
26,5,"[0.127714,0.398604,0.547986,0.602959,0.935057,0.311356,0.645541]"
26,6,"[0.190314,0.433242,0.322241,0.61949 ,0.901841,0.896945,0.298451]"
26,7,"[0.09324 ,0.427248,0.492733,0.838795,0.808883,0.579635,0.411824]"
26,8,"[0.584487,0.062242,0.19355 ,0.578225,0.651701,0.721219,0.668089]"
26,9,"[0.250146,0.274435,0.193764,0.626451,0.822689,0.72522 ,0.679313]"
26,10,"[0.183047,0.38857 ,0.29513 ,0.510669,0.605687,0.784552,0.779993]"
26,11,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
26,12,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
26,13,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
26,14,"[0.808265,0.586396,0.727788,0.642266,0.346266,0.088046,0.0606  ]"
26,15,"[0.94552 ,0.409894,0.412971,0.703429,0.305288,0.179694,0.24934 ]"
26,16,"[0.915721,0.702376,0.205428,0.290502,0.317594,0.322936,0.371005]"
26,17,"[0.962563,0.45985 ,0.48422 ,0.375195,0.181538,0.276231,0.411676]"
26,18,"[0.869598,0.71937 ,0.58277 ,0.380967,0.174286,0.182644,0.242986]"
26,19,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
26,20,"[0.893477,0.169702,0.268014,0.601415,0.465985,0.586252,0.341513]"
26,21,"[0.799416,0.111023,0.315828,0.688727,0.292567,0.593489,0.538586]"
26,22,"[0.770119,0.020593,0.655647,0.693108,0.452262,0.47532 ,0.349761]"
26,23,"[0.892508,0.42783 ,0.502855,0.341563,0.116207,0.674704,0.301238]"
26,24,"[0.871941,0.362514,0.337714,0.302858,0.172677,0.45828 ,0.676616]"
26,25,"[0.835968,0.233984,0.231883,0.326721,0.413714,0.5543  ,0.662943]"
26,26,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
27,1,"[0.019574,0.624925,0.639508,0.659777,0.699532,0.484855,0.476588]"
27,2,"[0.089914,0.75921 ,0.688058,0.74603 ,0.654668,0.233132,0.359916]"
27,3,"[0.187541,0.171492,0.645734,0.609437,0.826134,0.652919,0.558904]"
27,4,"[0.36469 ,0.079677,0.749323,0.883813,0.779829,0.391509,0.357892]"
27,5,"[0.127714,0.398604,0.547986,0.602959,0.935057,0.311356,0.645541]"
27,6,"[0.190314,0.433242,0.322241,0.61949 ,0.901841,0.896945,0.298451]"
27,7,"[0.09324 ,0.427248,0.492733,0.838795,0.808883,0.579635,0.411824]"
27,8,"[0.584487,0.062242,0.19355 ,0.578225,0.651701,0.721219,0.668089]"
27,9,"[0.250146,0.274435,0.193764,0.626451,0.822689,0.72522 ,0.679313]"
27,10,"[0.183047,0.38857 ,0.29513 ,0.510669,0.605687,0.784552,0.779993]"
27,11,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
27,12,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
27,13,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
27,14,"[0.808265,0.586396,0.727788,0.642266,0.346266,0.088046,0.0606  ]"
27,15,"[0.94552 ,0.409894,0.412971,0.703429,0.305288,0.179694,0.24934 ]"
27,16,"[0.915721,0.702376,0.205428,0.290502,0.317594,0.322936,0.371005]"
27,17,"[0.962563,0.45985 ,0.48422 ,0.375195,0.181538,0.276231,0.411676]"
27,18,"[0.874147,0.721016,0.584588,0.416037,0.177716,0.177699,0.206517]"
27,19,"[0.845034,0.71048 ,0.572956,0.191586,0.155761,0.20935 ,0.439914]"
27,20,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
27,21,"[0.893477,0.169702,0.268014,0.601415,0.465985,0.586252,0.341513]"
27,22,"[0.799416,0.111023,0.315828,0.688727,0.292567,0.593489,0.538586]"
27,23,"[0.770119,0.020593,0.655647,0.693108,0.452262,0.47532 ,0.349761]"
27,24,"[0.892508,0.42783 ,0.502855,0.341563,0.116207,0.674704,0.301238]"
27,25,"[0.871941,0.362514,0.337714,0.302858,0.172677,0.45828 ,0.676616]"
27,26,"[0.835968,0.233984,0.231883,0.326721,0.413714,0.5543  ,0.662943]"
27,27,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
28,1,"[0.019574,0.624925,0.639508,0.659777,0.699532,0.484855,0.476588]"
28,2,"[0.089914,0.75921 ,0.688058,0.74603 ,0.654668,0.233132,0.359916]"
28,3,"[0.187541,0.171492,0.645734,0.609437,0.826134,0.652919,0.558904]"
28,4,"[0.36469 ,0.079677,0.749323,0.883813,0.779829,0.391509,0.357892]"
28,5,"[0.127714,0.398604,0.547986,0.602959,0.935057,0.311356,0.645541]"
28,6,"[0.190314,0.433242,0.322241,0.61949 ,0.901841,0.896945,0.298451]"
28,7,"[0.09324 ,0.427248,0.492733,0.838795,0.808883,0.579635,0.411824]"
28,8,"[0.584487,0.062242,0.19355 ,0.578225,0.651701,0.721219,0.668089]"
28,9,"[0.250146,0.274435,0.193764,0.626451,0.822689,0.72522 ,0.679313]"
28,10,"[0.183047,0.38857 ,0.29513 ,0.510669,0.605687,0.784552,0.779993]"
28,11,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
28,12,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
28,13,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
28,14,"[0.808265,0.586396,0.727788,0.642266,0.346266,0.088046,0.0606  ]"
28,15,"[0.94552 ,0.409894,0.412971,0.703429,0.305288,0.179694,0.24934 ]"
28,16,"[0.915721,0.702376,0.205428,0.290502,0.317594,0.322936,0.371005]"
28,17,"[0.962563,0.45985 ,0.48422 ,0.375195,0.181538,0.276231,0.411676]"
28,18,"[0.874147,0.721016,0.584588,0.416037,0.177716,0.177699,0.206517]"
28,19,"[0.845034,0.71048 ,0.572956,0.191586,0.155761,0.20935 ,0.439914]"
28,20,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
28,21,"[0.893477,0.169702,0.268014,0.601415,0.465985,0.586252,0.341513]"
28,22,"[0.799416,0.111023,0.315828,0.688727,0.292567,0.593489,0.538586]"
28,23,"[0.770119,0.020593,0.655647,0.693108,0.452262,0.47532 ,0.349761]"
28,24,"[0.875342,0.403667,0.410519,0.353908,0.156548,0.811424,0.280774]"
28,25,"[0.909675,0.451993,0.595191,0.329218,0.075865,0.537985,0.321702]"
28,26,"[0.871941,0.362514,0.337714,0.302858,0.172677,0.45828 ,0.676616]"
28,27,"[0.835968,0.233984,0.231883,0.326721,0.413714,0.5543  ,0.662943]"
28,28,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
29,1,"[0.019574,0.624925,0.639508,0.659777,0.699532,0.484855,0.476588]"
29,2,"[0.089914,0.75921 ,0.688058,0.74603 ,0.654668,0.233132,0.359916]"
29,3,"[0.187541,0.171492,0.645734,0.609437,0.826134,0.652919,0.558904]"
29,4,"[0.36469 ,0.079677,0.749323,0.883813,0.779829,0.391509,0.357892]"
29,5,"[0.127714,0.398604,0.547986,0.602959,0.935057,0.311356,0.645541]"
29,6,"[0.190314,0.433242,0.322241,0.61949 ,0.901841,0.896945,0.298451]"
29,7,"[0.09324 ,0.427248,0.492733,0.838795,0.808883,0.579635,0.411824]"
29,8,"[0.584487,0.062242,0.19355 ,0.578225,0.651701,0.721219,0.668089]"
29,9,"[0.250146,0.274435,0.193764,0.626451,0.822689,0.72522 ,0.679313]"
29,10,"[0.183047,0.38857 ,0.29513 ,0.510669,0.605687,0.784552,0.779993]"
29,11,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
29,12,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
29,13,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
29,14,"[0.808265,0.586396,0.727788,0.642266,0.346266,0.088046,0.0606  ]"
29,15,"[0.94552 ,0.409894,0.412971,0.703429,0.305288,0.179694,0.24934 ]"
29,16,"[0.92991 ,0.719014,0.24713 ,0.297511,0.34218 ,0.297991,0.295443]"
29,17,"[0.880249,0.66078 ,0.101176,0.272979,0.256126,0.385298,0.559911]"
29,18,"[0.962563,0.45985 ,0.48422 ,0.375195,0.181538,0.276231,0.411676]"
29,19,"[0.874147,0.721016,0.584588,0.416037,0.177716,0.177699,0.206517]"
29,20,"[0.845034,0.71048 ,0.572956,0.191586,0.155761,0.20935 ,0.439914]"
29,21,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
29,22,"[0.893477,0.169702,0.268014,0.601415,0.465985,0.586252,0.341513]"
29,23,"[0.799416,0.111023,0.315828,0.688727,0.292567,0.593489,0.538586]"
29,24,"[0.770119,0.020593,0.655647,0.693108,0.452262,0.47532 ,0.349761]"
29,25,"[0.875342,0.403667,0.410519,0.353908,0.156548,0.811424,0.280774]"
29,26,"[0.909675,0.451993,0.595191,0.329218,0.075865,0.537985,0.321702]"
29,27,"[0.871941,0.362514,0.337714,0.302858,0.172677,0.45828 ,0.676616]"
29,28,"[0.835968,0.233984,0.231883,0.326721,0.413714,0.5543  ,0.662943]"
29,29,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
30,1,"[0.019574,0.624925,0.639508,0.659777,0.699532,0.484855,0.476588]"
30,2,"[0.089914,0.75921 ,0.688058,0.74603 ,0.654668,0.233132,0.359916]"
30,3,"[0.187541,0.171492,0.645734,0.609437,0.826134,0.652919,0.558904]"
30,4,"[0.36469 ,0.079677,0.749323,0.883813,0.779829,0.391509,0.357892]"
30,5,"[0.127714,0.398604,0.547986,0.602959,0.935057,0.311356,0.645541]"
30,6,"[0.190314,0.433242,0.322241,0.61949 ,0.901841,0.896945,0.298451]"
30,7,"[0.09324 ,0.427248,0.492733,0.838795,0.808883,0.579635,0.411824]"
30,8,"[0.584487,0.062242,0.19355 ,0.578225,0.651701,0.721219,0.668089]"
30,9,"[0.250146,0.274435,0.193764,0.626451,0.822689,0.72522 ,0.679313]"
30,10,"[0.12369 ,0.48893 ,0.321979,0.443705,0.712936,0.698319,0.759767]"
30,11,"[0.212725,0.33839 ,0.281706,0.544151,0.552063,0.827669,0.790106]"
30,12,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
30,13,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
30,14,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
30,15,"[0.808265,0.586396,0.727788,0.642266,0.346266,0.088046,0.0606  ]"
30,16,"[0.94552 ,0.409894,0.412971,0.703429,0.305288,0.179694,0.24934 ]"
30,17,"[0.92991 ,0.719014,0.24713 ,0.297511,0.34218 ,0.297991,0.295443]"
30,18,"[0.880249,0.66078 ,0.101176,0.272979,0.256126,0.385298,0.559911]"
30,19,"[0.962563,0.45985 ,0.48422 ,0.375195,0.181538,0.276231,0.411676]"
30,20,"[0.874147,0.721016,0.584588,0.416037,0.177716,0.177699,0.206517]"
30,21,"[0.845034,0.71048 ,0.572956,0.191586,0.155761,0.20935 ,0.439914]"
30,22,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
30,23,"[0.893477,0.169702,0.268014,0.601415,0.465985,0.586252,0.341513]"
30,24,"[0.799416,0.111023,0.315828,0.688727,0.292567,0.593489,0.538586]"
30,25,"[0.770119,0.020593,0.655647,0.693108,0.452262,0.47532 ,0.349761]"
30,26,"[0.875342,0.403667,0.410519,0.353908,0.156548,0.811424,0.280774]"
30,27,"[0.909675,0.451993,0.595191,0.329218,0.075865,0.537985,0.321702]"
30,28,"[0.871941,0.362514,0.337714,0.302858,0.172677,0.45828 ,0.676616]"
30,29,"[0.835968,0.233984,0.231883,0.326721,0.413714,0.5543  ,0.662943]"
30,30,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
31,1,"[0.019574,0.624925,0.639508,0.659777,0.699532,0.484855,0.476588]"
31,2,"[0.089914,0.75921 ,0.688058,0.74603 ,0.654668,0.233132,0.359916]"
31,3,"[0.187541,0.171492,0.645734,0.609437,0.826134,0.652919,0.558904]"
31,4,"[0.36469 ,0.079677,0.749323,0.883813,0.779829,0.391509,0.357892]"
31,5,"[0.127714,0.398604,0.547986,0.602959,0.935057,0.311356,0.645541]"
31,6,"[0.190314,0.433242,0.322241,0.61949 ,0.901841,0.896945,0.298451]"
31,7,"[0.09324 ,0.427248,0.492733,0.838795,0.808883,0.579635,0.411824]"
31,8,"[0.584487,0.062242,0.19355 ,0.578225,0.651701,0.721219,0.668089]"
31,9,"[0.33345 ,0.294968,0.201128,0.352406,0.756729,0.80657 ,0.765103]"
31,10,"[0.246524,0.273542,0.193444,0.638366,0.825557,0.721683,0.675583]"
31,11,"[0.12369 ,0.48893 ,0.321979,0.443705,0.712936,0.698319,0.759767]"
31,12,"[0.212725,0.33839 ,0.281706,0.544151,0.552063,0.827669,0.790106]"
31,13,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
31,14,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
31,15,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
31,16,"[0.808265,0.586396,0.727788,0.642266,0.346266,0.088046,0.0606  ]"
31,17,"[0.94552 ,0.409894,0.412971,0.703429,0.305288,0.179694,0.24934 ]"
31,18,"[0.92991 ,0.719014,0.24713 ,0.297511,0.34218 ,0.297991,0.295443]"
31,19,"[0.880249,0.66078 ,0.101176,0.272979,0.256126,0.385298,0.559911]"
31,20,"[0.962563,0.45985 ,0.48422 ,0.375195,0.181538,0.276231,0.411676]"
31,21,"[0.874147,0.721016,0.584588,0.416037,0.177716,0.177699,0.206517]"
31,22,"[0.845034,0.71048 ,0.572956,0.191586,0.155761,0.20935 ,0.439914]"
31,23,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
31,24,"[0.893477,0.169702,0.268014,0.601415,0.465985,0.586252,0.341513]"
31,25,"[0.799416,0.111023,0.315828,0.688727,0.292567,0.593489,0.538586]"
31,26,"[0.770119,0.020593,0.655647,0.693108,0.452262,0.47532 ,0.349761]"
31,27,"[0.875342,0.403667,0.410519,0.353908,0.156548,0.811424,0.280774]"
31,28,"[0.909675,0.451993,0.595191,0.329218,0.075865,0.537985,0.321702]"
31,29,"[0.871941,0.362514,0.337714,0.302858,0.172677,0.45828 ,0.676616]"
31,30,"[0.835968,0.233984,0.231883,0.326721,0.413714,0.5543  ,0.662943]"
31,31,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
32,1,"[0.019574,0.624925,0.639508,0.659777,0.699532,0.484855,0.476588]"
32,2,"[0.089914,0.75921 ,0.688058,0.74603 ,0.654668,0.233132,0.359916]"
32,3,"[0.187541,0.171492,0.645734,0.609437,0.826134,0.652919,0.558904]"
32,4,"[0.36469 ,0.079677,0.749323,0.883813,0.779829,0.391509,0.357892]"
32,5,"[0.127714,0.398604,0.547986,0.602959,0.935057,0.311356,0.645541]"
32,6,"[0.190314,0.433242,0.322241,0.61949 ,0.901841,0.896945,0.298451]"
32,7,"[0.09324 ,0.427248,0.492733,0.838795,0.808883,0.579635,0.411824]"
32,8,"[0.584487,0.062242,0.19355 ,0.578225,0.651701,0.721219,0.668089]"
32,9,"[0.33345 ,0.294968,0.201128,0.352406,0.756729,0.80657 ,0.765103]"
32,10,"[0.246524,0.273542,0.193444,0.638366,0.825557,0.721683,0.675583]"
32,11,"[0.12369 ,0.48893 ,0.321979,0.443705,0.712936,0.698319,0.759767]"
32,12,"[0.212725,0.33839 ,0.281706,0.544151,0.552063,0.827669,0.790106]"
32,13,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
32,14,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
32,15,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
32,16,"[0.808265,0.586396,0.727788,0.642266,0.346266,0.088046,0.0606  ]"
32,17,"[0.94552 ,0.409894,0.412971,0.703429,0.305288,0.179694,0.24934 ]"
32,18,"[0.92991 ,0.719014,0.24713 ,0.297511,0.34218 ,0.297991,0.295443]"
32,19,"[0.880249,0.66078 ,0.101176,0.272979,0.256126,0.385298,0.559911]"
32,20,"[0.962563,0.45985 ,0.48422 ,0.375195,0.181538,0.276231,0.411676]"
32,21,"[0.874147,0.721016,0.584588,0.416037,0.177716,0.177699,0.206517]"
32,22,"[0.845034,0.71048 ,0.572956,0.191586,0.155761,0.20935 ,0.439914]"
32,23,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
32,24,"[0.893477,0.169702,0.268014,0.601415,0.465985,0.586252,0.341513]"
32,25,"[0.776692,0.133286,0.275267,0.619356,0.276617,0.82138 ,0.477649]"
32,26,"[0.80487 ,0.10568 ,0.325563,0.705376,0.296396,0.538795,0.553211]"
32,27,"[0.770119,0.020593,0.655647,0.693108,0.452262,0.47532 ,0.349761]"
32,28,"[0.875342,0.403667,0.410519,0.353908,0.156548,0.811424,0.280774]"
32,29,"[0.909675,0.451993,0.595191,0.329218,0.075865,0.537985,0.321702]"
32,30,"[0.871941,0.362514,0.337714,0.302858,0.172677,0.45828 ,0.676616]"
32,31,"[0.835968,0.233984,0.231883,0.326721,0.413714,0.5543  ,0.662943]"
32,32,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
33,1,"[0.019574,0.624925,0.639508,0.659777,0.699532,0.484855,0.476588]"
33,2,"[0.089914,0.75921 ,0.688058,0.74603 ,0.654668,0.233132,0.359916]"
33,3,"[0.187541,0.171492,0.645734,0.609437,0.826134,0.652919,0.558904]"
33,4,"[0.36469 ,0.079677,0.749323,0.883813,0.779829,0.391509,0.357892]"
33,5,"[0.127714,0.398604,0.547986,0.602959,0.935057,0.311356,0.645541]"
33,6,"[0.190314,0.433242,0.322241,0.61949 ,0.901841,0.896945,0.298451]"
33,7,"[0.09324 ,0.427248,0.492733,0.838795,0.808883,0.579635,0.411824]"
33,8,"[0.584487,0.062242,0.19355 ,0.578225,0.651701,0.721219,0.668089]"
33,9,"[0.33345 ,0.294968,0.201128,0.352406,0.756729,0.80657 ,0.765103]"
33,10,"[0.246524,0.273542,0.193444,0.638366,0.825557,0.721683,0.675583]"
33,11,"[0.12369 ,0.48893 ,0.321979,0.443705,0.712936,0.698319,0.759767]"
33,12,"[0.212725,0.33839 ,0.281706,0.544151,0.552063,0.827669,0.790106]"
33,13,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
33,14,"[0.184931,0.883967,0.854749,0.351682,0.468801,0.257   ,0.426317]"
33,15,"[0.316496,0.8411  ,0.974917,0.587317,0.254563,0.117815,0.2896  ]"
33,16,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
33,17,"[0.808265,0.586396,0.727788,0.642266,0.346266,0.088046,0.0606  ]"
33,18,"[0.94552 ,0.409894,0.412971,0.703429,0.305288,0.179694,0.24934 ]"
33,19,"[0.92991 ,0.719014,0.24713 ,0.297511,0.34218 ,0.297991,0.295443]"
33,20,"[0.880249,0.66078 ,0.101176,0.272979,0.256126,0.385298,0.559911]"
33,21,"[0.962563,0.45985 ,0.48422 ,0.375195,0.181538,0.276231,0.411676]"
33,22,"[0.874147,0.721016,0.584588,0.416037,0.177716,0.177699,0.206517]"
33,23,"[0.845034,0.71048 ,0.572956,0.191586,0.155761,0.20935 ,0.439914]"
33,24,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
33,25,"[0.893477,0.169702,0.268014,0.601415,0.465985,0.586252,0.341513]"
33,26,"[0.776692,0.133286,0.275267,0.619356,0.276617,0.82138 ,0.477649]"
33,27,"[0.80487 ,0.10568 ,0.325563,0.705376,0.296396,0.538795,0.553211]"
33,28,"[0.770119,0.020593,0.655647,0.693108,0.452262,0.47532 ,0.349761]"
33,29,"[0.875342,0.403667,0.410519,0.353908,0.156548,0.811424,0.280774]"
33,30,"[0.909675,0.451993,0.595191,0.329218,0.075865,0.537985,0.321702]"
33,31,"[0.871941,0.362514,0.337714,0.302858,0.172677,0.45828 ,0.676616]"
33,32,"[0.835968,0.233984,0.231883,0.326721,0.413714,0.5543  ,0.662943]"
33,33,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
34,1,"[0.019574,0.624925,0.639508,0.659777,0.699532,0.484855,0.476588]"
34,2,"[0.089914,0.75921 ,0.688058,0.74603 ,0.654668,0.233132,0.359916]"
34,3,"[0.187541,0.171492,0.645734,0.609437,0.826134,0.652919,0.558904]"
34,4,"[0.36469 ,0.079677,0.749323,0.883813,0.779829,0.391509,0.357892]"
34,5,"[0.127714,0.398604,0.547986,0.602959,0.935057,0.311356,0.645541]"
34,6,"[0.190314,0.433242,0.322241,0.61949 ,0.901841,0.896945,0.298451]"
34,7,"[0.09324 ,0.427248,0.492733,0.838795,0.808883,0.579635,0.411824]"
34,8,"[0.584487,0.062242,0.19355 ,0.578225,0.651701,0.721219,0.668089]"
34,9,"[0.33345 ,0.294968,0.201128,0.352406,0.756729,0.80657 ,0.765103]"
34,10,"[0.246524,0.273542,0.193444,0.638366,0.825557,0.721683,0.675583]"
34,11,"[0.12369 ,0.48893 ,0.321979,0.443705,0.712936,0.698319,0.759767]"
34,12,"[0.212725,0.33839 ,0.281706,0.544151,0.552063,0.827669,0.790106]"
34,13,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
34,14,"[0.184931,0.883967,0.854749,0.351682,0.468801,0.257   ,0.426317]"
34,15,"[0.316496,0.8411  ,0.974917,0.587317,0.254563,0.117815,0.2896  ]"
34,16,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
34,17,"[0.808265,0.586396,0.727788,0.642266,0.346266,0.088046,0.0606  ]"
34,18,"[0.94552 ,0.409894,0.412971,0.703429,0.305288,0.179694,0.24934 ]"
34,19,"[0.92991 ,0.719014,0.24713 ,0.297511,0.34218 ,0.297991,0.295443]"
34,20,"[0.880249,0.66078 ,0.101176,0.272979,0.256126,0.385298,0.559911]"
34,21,"[0.962563,0.45985 ,0.48422 ,0.375195,0.181538,0.276231,0.411676]"
34,22,"[0.874147,0.721016,0.584588,0.416037,0.177716,0.177699,0.206517]"
34,23,"[0.863889,0.620127,0.503638,0.275604,0.173212,0.04343 ,0.608048]"
34,24,"[0.84032 ,0.733069,0.590286,0.170582,0.151399,0.25083 ,0.397881]"
34,25,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
34,26,"[0.893477,0.169702,0.268014,0.601415,0.465985,0.586252,0.341513]"
34,27,"[0.776692,0.133286,0.275267,0.619356,0.276617,0.82138 ,0.477649]"
34,28,"[0.80487 ,0.10568 ,0.325563,0.705376,0.296396,0.538795,0.553211]"
34,29,"[0.770119,0.020593,0.655647,0.693108,0.452262,0.47532 ,0.349761]"
34,30,"[0.875342,0.403667,0.410519,0.353908,0.156548,0.811424,0.280774]"
34,31,"[0.909675,0.451993,0.595191,0.329218,0.075865,0.537985,0.321702]"
34,32,"[0.871941,0.362514,0.337714,0.302858,0.172677,0.45828 ,0.676616]"
34,33,"[0.835968,0.233984,0.231883,0.326721,0.413714,0.5543  ,0.662943]"
34,34,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
35,1,"[0.019574,0.624925,0.639508,0.659777,0.699532,0.484855,0.476588]"
35,2,"[0.089914,0.75921 ,0.688058,0.74603 ,0.654668,0.233132,0.359916]"
35,3,"[0.187541,0.171492,0.645734,0.609437,0.826134,0.652919,0.558904]"
35,4,"[0.36469 ,0.079677,0.749323,0.883813,0.779829,0.391509,0.357892]"
35,5,"[0.127714,0.398604,0.547986,0.602959,0.935057,0.311356,0.645541]"
35,6,"[0.190314,0.433242,0.322241,0.61949 ,0.901841,0.896945,0.298451]"
35,7,"[0.09324 ,0.427248,0.492733,0.838795,0.808883,0.579635,0.411824]"
35,8,"[0.584487,0.062242,0.19355 ,0.578225,0.651701,0.721219,0.668089]"
35,9,"[0.33345 ,0.294968,0.201128,0.352406,0.756729,0.80657 ,0.765103]"
35,10,"[0.246524,0.273542,0.193444,0.638366,0.825557,0.721683,0.675583]"
35,11,"[0.12369 ,0.48893 ,0.321979,0.443705,0.712936,0.698319,0.759767]"
35,12,"[0.212725,0.33839 ,0.281706,0.544151,0.552063,0.827669,0.790106]"
35,13,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
35,14,"[0.184931,0.883967,0.854749,0.351682,0.468801,0.257   ,0.426317]"
35,15,"[0.316496,0.8411  ,0.974917,0.587317,0.254563,0.117815,0.2896  ]"
35,16,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
35,17,"[0.808265,0.586396,0.727788,0.642266,0.346266,0.088046,0.0606  ]"
35,18,"[0.94552 ,0.409894,0.412971,0.703429,0.305288,0.179694,0.24934 ]"
35,19,"[0.92991 ,0.719014,0.24713 ,0.297511,0.34218 ,0.297991,0.295443]"
35,20,"[0.880249,0.66078 ,0.101176,0.272979,0.256126,0.385298,0.559911]"
35,21,"[0.962563,0.45985 ,0.48422 ,0.375195,0.181538,0.276231,0.411676]"
35,22,"[0.874147,0.721016,0.584588,0.416037,0.177716,0.177699,0.206517]"
35,23,"[0.863889,0.620127,0.503638,0.275604,0.173212,0.04343 ,0.608048]"
35,24,"[0.84032 ,0.733069,0.590286,0.170582,0.151399,0.25083 ,0.397881]"
35,25,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
35,26,"[0.893477,0.169702,0.268014,0.601415,0.465985,0.586252,0.341513]"
35,27,"[0.776692,0.133286,0.275267,0.619356,0.276617,0.82138 ,0.477649]"
35,28,"[0.80487 ,0.10568 ,0.325563,0.705376,0.296396,0.538795,0.553211]"
35,29,"[0.770119,0.020593,0.655647,0.693108,0.452262,0.47532 ,0.349761]"
35,30,"[0.875342,0.403667,0.410519,0.353908,0.156548,0.811424,0.280774]"
35,31,"[0.909675,0.451993,0.595191,0.329218,0.075865,0.537985,0.321702]"
35,32,"[0.871941,0.362514,0.337714,0.302858,0.172677,0.45828 ,0.676616]"
35,33,"[0.866399,0.229276,0.19129 ,0.390804,0.390705,0.558718,0.626202]"
