A,B,C,D,E
0.1,0.3902439024390244,0.5,0.5,
1.0,0.8,0.25,0.5,0.0
0.0,0.8611111111111112,0.9722222222222222,0.9444444444444444,1.0
0.0,0.2,0.75,0.5,1.0
1.0,0.1388888888888889,0.027777777777777776,0.05555555555555555,0.0
0.1,0.855,0.9,0.9,0.9
0.1,0.35555555555555557,0.2,0.3333333333333333,0.0
0.18181818181818182,0.5245901639344263,0.3333333333333333,0.5,
